site,mean_calc2,sd_calc2,error_calc2,type
arid,3.6016612750684596,3.5864885956575896,0.06548002353588955,ecto
intermediate,3.584311684299809,2.1492542864705095,0.031021813521267677,ecto
mesic,4.627707642507304,2.667733873515038,0.048705933998160665,ecto
arid,4.0124034919303355,3.873320683193526,0.28870027820922184,amf
intermediate,2.3065981435915996,2.362507627684246,0.13921209701170614,amf
mesic,3.533453171222743,3.449187052516874,0.2570872238846622,amf
arid,5.201189654544756,7.616014279039081,0.043971078941552444,symb
intermediate,5.310385598376191,22.72492131041071,0.10372460016034821,symb
mesic,5.5955973221816855,13.863110841057328,0.08003870775890075,symb
arid,4.809497139777423,8.712376881517699,0.05030093137825702,all
intermediate,5.007859781163834,7.841163960584949,0.03578985315257439,all
mesic,5.628556026465783,11.833348922083553,0.06831987185579717,all
