trait,type,OTU_ID
exploration_type,short,OTU_253
exploration_type,short,OTU_1604
exploration_type,short,OTU_1048
exploration_type,short,OTU_1028
exploration_type,short,OTU_2216
exploration_type,short,OTU_1575
exploration_type,short,OTU_467
exploration_type,short,OTU_156
exploration_type,medium,OTU_200
exploration_type,short,OTU_1708
exploration_type,short,OTU_459
exploration_type,medium,OTU_376
exploration_type,short,OTU_991
exploration_type,medium,OTU_2498
exploration_type,short,OTU_1166
exploration_type,medium,OTU_318
exploration_type,medium,OTU_1967
exploration_type,short,OTU_155
exploration_type,medium,OTU_981
exploration_type,short,OTU_1526
exploration_type,medium,OTU_1303
exploration_type,short,OTU_2314
exploration_type,medium,OTU_830
exploration_type,long distance,OTU_1224
exploration_type,medium,OTU_861
exploration_type,medium,OTU_2133
exploration_type,medium,OTU_2223
exploration_type,short,OTU_2641
exploration_type,medium,OTU_1266
exploration_type,short,OTU_2332
exploration_type,short,OTU_2548
exploration_type,medium,OTU_2896
exploration_type,short,OTU_1778
exploration_type,short,OTU_2588
exploration_type,short,OTU_2059
exploration_type,short,OTU_2485
exploration_type,medium,OTU_2788
exploration_type,short,OTU_2849
exploration_type,medium,OTU_1546
rhizomorphs,r_false,OTU_253
rhizomorphs,r_false,OTU_1604
rhizomorphs,r_true,OTU_1705
rhizomorphs,r_false,OTU_1048
rhizomorphs,r_false,OTU_1028
rhizomorphs,r_false,OTU_2216
rhizomorphs,r_false,OTU_1575
rhizomorphs,r_true,OTU_473
rhizomorphs,r_false,OTU_467
rhizomorphs,r_false,OTU_156
rhizomorphs,r_true,OTU_200
rhizomorphs,r_false,OTU_1708
rhizomorphs,r_true,OTU_1446
rhizomorphs,r_false,OTU_459
rhizomorphs,r_true,OTU_376
rhizomorphs,r_true,OTU_1951
rhizomorphs,r_true,OTU_1227
rhizomorphs,r_false,OTU_991
rhizomorphs,r_false,OTU_2745
rhizomorphs,r_true,OTU_2498
rhizomorphs,r_false,OTU_1166
rhizomorphs,r_true,OTU_2150
rhizomorphs,r_true,OTU_482
rhizomorphs,r_true,OTU_1967
rhizomorphs,r_true,OTU_716
rhizomorphs,r_true,OTU_2041
rhizomorphs,r_false,OTU_155
rhizomorphs,r_true,OTU_1586
rhizomorphs,r_true,OTU_2287
rhizomorphs,r_true,OTU_981
rhizomorphs,r_false,OTU_1526
rhizomorphs,r_true,OTU_1726
rhizomorphs,r_true,OTU_926
rhizomorphs,r_true,OTU_1303
rhizomorphs,r_false,OTU_2314
rhizomorphs,r_true,OTU_830
rhizomorphs,r_true,OTU_1224
rhizomorphs,r_true,OTU_861
rhizomorphs,r_false,OTU_1079
rhizomorphs,r_true,OTU_2133
rhizomorphs,r_true,OTU_1965
rhizomorphs,r_true,OTU_1746
rhizomorphs,r_true,OTU_2223
rhizomorphs,r_false,OTU_2641
rhizomorphs,r_true,OTU_1266
rhizomorphs,r_false,OTU_2373
rhizomorphs,r_true,OTU_1226
rhizomorphs,r_true,OTU_2412
rhizomorphs,r_false,OTU_2332
rhizomorphs,r_true,OTU_1337
rhizomorphs,r_false,OTU_2548
rhizomorphs,r_true,OTU_2896
rhizomorphs,r_false,OTU_1778
rhizomorphs,r_false,OTU_2588
rhizomorphs,r_false,OTU_2059
rhizomorphs,r_false,OTU_2485
rhizomorphs,r_true,OTU_2788
rhizomorphs,r_true,OTU_2262
rhizomorphs,r_false,OTU_2849
rhizomorphs,r_true,OTU_2551
rhizomorphs,r_true,OTU_1546
